,Athlete,Year,Location,Team,Age,Height,Weight,Stroke,Distance,Results
23,Kaylee Mckeown,2020,Tokyo,AUS,19,176.0,60.0,Backstroke,100m,57.47
21,Katinka Hosszu,2016,Rio,HUN,27,175.0,65.0,Backstroke,100m,58.45
27,Laure Manaudou,2008,Beijing,FRA,22,180.0,69.0,Backstroke,100m,60.1
7,Diana Mocanu,2000,Sydney,ROU,16,170.0,68.0,Backstroke,100m,60.2
39,Natalie Coughlin,2004,Athens,USA,22,173.0,63.0,Backstroke,100m,60.4
52,Yuanhui Fu,2012,London,CHN,16,179.0,63.0,Backstroke,100m,60.5
26,Krisztina Egerszegi,1992,Barcelona,HUN,17,174.0,57.0,Backstroke,100m,60.7
25,Kristin Otto,1988,Seoul,GDR,22,185.0,70.0,Backstroke,100m,60.9
43,Rica Reinisch,1980,Moscow,GDR,15,178.0,66.0,Backstroke,100m,60.9
0,Beth Botsford,1996,Atlanta,USA,15,165.0,49.0,Backstroke,100m,61.2
