,ID,Athlete,Year,Location,Team,Age,Height,Weight,Stroke,Distance,Results
0,6,Emma Mckeon,2020,Tokyo,AUS,26.0,180.0,60.0,Freestyle,100m,51.96
1,22,Penny Oleksiak,2016,Rio,CAN,16.0,185.0,68.0,Freestyle,100m,52.7
2,24,Simone Manuel,2016,Rio,USA,20.0,178.0,73.0,Freestyle,100m,52.7
3,23,Ranomi Kromowidjojo,2012,London,NED,21.0,180.0,72.0,Freestyle,100m,53.0
4,2,Britta Steffen,2008,Beijing,GER,24.0,180.0,60.0,Freestyle,100m,53.12
5,12,Inge De Bruijn,2000,Sydney,NED,27.0,174.0,55.0,Freestyle,100m,53.83
6,15,Jodie Henry,2004,Athens,AUS,21.0,176.0,63.0,Freestyle,100m,53.84
7,14,Jingyi Le,1996,Atlanta,CHN,21.0,178.0,68.0,Freestyle,100m,54.5
8,25,Yong Zhuang,1992,Barcelona,CHN,20.0,172.0,68.0,Freestyle,100m,54.64
9,1,Barbara Krause,1980,Moscow,GDR,21.0,180.0,68.0,Freestyle,100m,54.79
10,19,Kristin Otto,1988,Seoul,GDR,22.0,185.0,70.0,Freestyle,100m,54.93
11,18,Kornelia Ender,1976,Montreal,GDR,18.0,172.0,59.0,Freestyle,100m,55.65
12,3,Carolyn Steinseifer,1984,Angeles,USA,16.0,167.0,57.0,Freestyle,100m,55.92
13,21,Nancy Lynn Hogshead,1984,Angeles,USA,22.0,172.0,66.0,Freestyle,100m,55.92
14,20,Magdolna Patoh,1972,Munich,HUN,24.0,174.0,61.0,Freestyle,100m,60.0
15,13,Jane Margo Henne,1968,City,USA,21.0,170.0,64.0,Freestyle,100m,60.0
16,17,Kathy Ellis,1964,Tokyo,USA,18.0,169.0,59.0,Freestyle,100m,60.8
18,4,Dawn Fraser,1956,Melbourne,AUS,19.0,172.0,67.0,Freestyle,100m,62.0
