,Team_x,Athlete,Year
0,AUS,Kaylee Mckeown,2020
1,CAN,Kylie Masse,2020
2,USA,Regan Smith,2020
3,USA,Rhyan Elizabeth White,2020
4,AUS,Emily Seebohm,2020
5,GBR,Kathleen Dawson,2020
6,NED,Kira Toussaint,2020
7,ISR,Anastasya Gorbenko,2020
8,USA,Lydia Jacoby,2020
9,RSA,Tatjana Schoenmaker,2020
10,USA,Lilly King,2020
11,ROC,Evgeniia Chikunova,2020
12,ROC,Yuliya Efimova,2020
13,SWE,Sophie Hansson,2020
14,ITA,Martina Carraro,2020
15,IRL,Mona Mc Sharry,2020
16,CAN,Margaret Mac Neil,2020
17,CHN,Yufei Zhang,2020
18,AUS,Emma Mckeon,2020
19,USA,Torri Huske,2020
20,SWE,Louise Hansson,2020
21,FRA,Marie Wattel,2020
22,SWE,Sarah Sjoestroem,2020
23,BLR,Anastasiya Shkurdai,2020
24,AUS,Emma Mckeon,2020
25,HKG,Siobhan Bernadette Haughey,2020
26,AUS,Cate Campbell,2020
27,CAN,Penny Oleksiak,2020
28,SWE,Sarah Sjoestroem,2020
29,NED,Femke Heemskerk,2020
30,GBR,Anna Hopkin,2020
31,USA,Abbey Weitzeil,2020
32,USA,Katie Ledecky,2020
33,USA,Erica Sullivan,2020
34,GER,Sarah Kohler,2020
35,CHN,Jianjiahe Wang,2020
36,ITA,Simona Quadarella,2020
37,AUS,Kiah Melverton,2020
38,ROC,Anastasiia Kirpichnikova,2020
39,AUS,Maddy Gough,2020
40,AUS,Kaylee Mckeown,2020
41,CAN,Kylie Masse,2020
42,AUS,Emily Seebohm,2020
43,USA,Rhyan Elizabeth White,2020
44,USA,Phoebe Bacon,2020
45,CAN,Taylor Madison Ruck,2020
46,CHN,Xuwei Peng,2020
47,CHN,Yaxin Liu,2020
48,RSA,Tatjana Schoenmaker,2020
49,USA,Lilly King,2020
50,USA,Annie Lazor,2020
51,ROC,Evgeniia Chikunova,2020
52,RSA,Kaylene Corbett,2020
53,GBR,Molly Renshaw,2020
54,GBR,Abbie Wood,2020
55,BEL,Fanny Lecluyse,2020
56,CHN,Yufei Zhang,2020
57,USA,Regan Smith,2020
58,USA,Hali Flickinger,2020
59,HUN,Boglarka Kapas,2020
60,ROC,Svetlana Chimrova,2020
61,CHN,Liyan Yu,2020
62,GBR,Alys Margaret Thomas,2020
63,AUS,Brianna Throssell,2020
64,AUS,Ariarne Titmus,2020
65,HKG,Siobhan Bernadette Haughey,2020
66,CAN,Penny Oleksiak,2020
67,CHN,Junxuan Yang,2020
68,USA,Katie Ledecky,2020
69,CZE,Barbora Seemanova,2020
70,ITA,Federica Pellegrini,2020
71,AUS,Madison Wilson,2020
72,JPN,Yui Ohashi,2020
73,USA,Alex Walsh,2020
74,USA,Kate Douglass,2020
75,GBR,Abbie Wood,2020
76,CHN,Yiting Yu,2020
77,CAN,Sydney Pickrem,2020
78,HUN,Katinka Hosszu,2020
79,GBR,Alicia Wilson,2020
80,AUS,Ariarne Titmus,2020
81,USA,Katie Ledecky,2020
82,CHN,Bingjie Li,2020
83,CAN,Summer Mcintosh,2020
84,CHN,Muhan Tang,2020
85,GER,Isabel Gose,2020
86,USA,Paige Madden,2020
87,NZL,Erika Fairweather,2020
88,AUS,Ariarne Titmus,2020
89,USA,Katie Ledecky,2020
90,CHN,Bingjie Li,2020
91,CAN,Summer Mcintosh,2020
92,CHN,Muhan Tang,2020
93,GER,Isabel Gose,2020
94,USA,Paige Madden,2020
95,NZL,Erika Fairweather,2020
96,AUS,Emma Mckeon,2020
97,SWE,Sarah Sjoestroem,2020
98,DEN,Pernille Blume,2020
99,NED,Ranomi Kromowidjojo,2020
100,POL,Katarzyna Wasick,2020
101,CHN,Qingfeng Wu,2020
102,AUS,Cate Campbell,2020
103,USA,Abbey Weitzeil,2020
104,USA,Katie Ledecky,2020
